X,Y,NO_TUGU,X,Y,X_TM3,Y_TM3,icon_url
119.950477894444,-1.031315675,19021.000000,119.950478,-1.031316,361441.68524000002,1385937.50948000001,./0.png
119.907951783333,-1.08025281388889,19022.000000,119.907952,-1.080253,356705.00225899997,1380527.32551999995,./0.png
119.876622255556,-1.12167908333333,19023.000000,119.876622,-1.121679,353215.22815500002,1375947.35468000011,./0.png
119.780741511111,-1.54331891111111,19024.000000,119.780742,-1.543319,342517.80043100001,1329322.37428000011,./0.png
119.838923966667,-1.89904987777778,19025.000000,119.838924,-1.899050,348965.74279300001,1289976.47390000010,./0.png
121.204904444444,-1.28129305555556,19043.000000,121.204904,-1.281293,,,./0.png
121.9725,-1.14833333333333,19044.000000,121.972500,-1.148333,,,./0.png
122.012618333611,-1.29250694416667,19045.000000,122.012618,-1.292507,,,./0.png
122.790279693889,-0.955376666388889,19046.000000,122.790280,-0.955377,,,./0.png
122.772378910833,-1.0411351325,19047.000000,122.772379,-1.041135,,,./0.png
122.680819028333,-1.13481717277778,19048.000000,122.680819,-1.134817,,,./0.png
122.627120876944,-1.20290661333333,19049.000000,122.627121,-1.202907,,,./0.png
122.613111784444,-1.22117182527778,19050.000000,122.613112,-1.221172,,,./0.png
122.504152209444,-1.33705995416667,19051.000000,122.504152,-1.337060,,,./0.png
122.508618366111,-1.24430287388889,19052.000000,122.508618,-1.244303,,,./0.png
122.491563901944,-1.29708075166667,19053.000000,122.491564,-1.297081,,,./0.png
122.555830112778,-1.27802614472222,19054.000000,122.555830,-1.278026,,,./0.png
122.458333164167,-1.40559410694444,19055.000000,122.458333,-1.405594,,,./0.png
122.398968450833,-1.33215846805556,19056.000000,122.398968,-1.332158,,,./0.png
122.333520655278,-1.45462740555556,19057.000000,122.333521,-1.454627,,,./0.png
122.402034716667,-1.44130727805556,19058.000000,122.402035,-1.441307,,,./0.png
122.334301122778,-1.3731630775,19059.000000,122.334301,-1.373163,,,./0.png
122.319208323611,-1.51410030055556,19060.000000,122.319208,-1.514100,,,./0.png
122.248125663611,-1.45224722055556,19061.000000,122.248126,-1.452247,,,./0.png
122.255767028333,-1.55115089138889,19062.000000,122.255767,-1.551151,,,./0.png
122.1602445975,-1.56276645666667,19063.000000,122.160245,-1.562766,,,./0.png
122.196793605556,-1.59075396166667,19064.000000,122.196794,-1.590754,,,./0.png
122.090484864722,-1.6011028025,19065.000000,122.090485,-1.601103,,,./0.png
119.886288158333,-1.17736229722222,19066.000000,119.886288,-1.177362,354288.24392400001,1369788.49329999997,./0.png
119.945262802778,-1.22312398611111,19067.000000,119.945263,-1.223124,360850.57967399998,1364723.95797999995,./0.png
119.975784797222,-1.22112913888889,19068.000000,119.975785,-1.221129,364248.39541200001,1364942.74013000005,./0.png
119.975783527778,-1.08447435,19069.000000,119.975784,-1.084474,364256.08808399999,1380056.83801999991,./0.png
119.944991122222,-1.27595209444444,19070.000000,119.944991,-1.275952,360817.12252799998,1358881.23193000001,./0.png
119.963963836111,-1.34311308611111,19071.000000,119.963964,-1.343113,362924.76999100001,1351452.02511000005,./0.png
120.033178697222,-1.12666786388889,19072.000000,120.033179,-1.126668,,,./0.png
120.080022497222,-1.18812625277778,19073.000000,120.080022,-1.188126,,,./0.png
120.041894380556,-1.35973030833333,19074.000000,120.041894,-1.359730,,,./0.png
119.985321938889,-1.44089164166667,19075.000000,119.985322,-1.440892,,,./0.png
120.246731583333,-1.27308290555556,19076.000000,120.246732,-1.273083,,,./0.png
120.010498416667,-1.5122194,19077.000000,120.010498,-1.512219,,,./0.png
120.328061022222,-1.49674615,19078.000000,120.328061,-1.496746,,,./0.png
120.312240277778,-1.40764530555556,19079.000000,120.312240,-1.407645,,,./0.png
120.339550158333,-1.35275966944444,19080.000000,120.339550,-1.352760,,,./0.png
120.375024152778,-1.44793769444444,19081.000000,120.375024,-1.447938,,,./0.png
120.560607133333,-1.20078508333333,19082.000000,120.560607,-1.200785,,,./0.png
120.560607119444,-1.2838706,19083.000000,120.560607,-1.283871,,,./0.png
120.644418886111,-1.36659778333333,19084.000000,120.644419,-1.366598,,,./0.png
120.710833694444,-1.40498929166667,19085.000000,120.710834,-1.404989,,,./0.png
120.605541372222,-1.45067321944444,19086.000000,120.605541,-1.450673,,,./0.png
120.629151863889,-1.39670951666667,19087.000000,120.629152,-1.396710,,,./0.png
120.407559480556,-1.45831838333333,19088.000000,120.407559,-1.458318,,,./0.png
120.449561266667,-1.58182726666667,19089.000000,120.449561,-1.581827,,,./0.png
120.406092061111,-1.58777296944444,19090.000000,120.406092,-1.587773,,,./0.png
120.041529013889,-1.52695529722222,19091.000000,120.041529,-1.526955,,,./0.png
120.256905183333,-1.58846063888889,19092.000000,120.256905,-1.588461,,,./0.png
120.032942305556,-1.60169390277778,19093.000000,120.032942,-1.601694,,,./0.png
120.169182319444,-1.89408067222222,19094.000000,120.169182,-1.894081,,,./0.png
120.071779261111,-1.74402273888889,19095.000000,120.071779,-1.744023,,,./0.png
120.342690366667,-1.56089344166667,19096.000000,120.342690,-1.560893,,,./0.png
120.492558158333,-1.60256445,19097.000000,120.492558,-1.602564,,,./0.png
120.662457266667,-1.57176725472222,19098.000000,120.662457,-1.571767,,,./0.png
120.625287119444,-1.65203705555556,19099.000000,120.625287,-1.652037,,,./0.png
120.558328105556,-1.78352700277778,19100.000000,120.558328,-1.783527,,,./0.png
120.482909522222,-1.79582410833333,19101.000000,120.482910,-1.795824,,,./0.png
120.248218072222,-1.72491404166667,19102.000000,120.248218,-1.724914,,,./0.png
120.299523275,-1.61533459444444,19103.000000,120.299523,-1.615335,,,./0.png
120.209588161111,-1.71774249444444,19104.000000,120.209588,-1.717742,,,./0.png
120.248982036111,-1.908709825,19105.000000,120.248982,-1.908710,,,./0.png
120.283604783611,-1.85753252777778,19106.000000,120.283605,-1.857533,,,./0.png
120.541439455556,-1.75222680555556,19107.000000,120.541439,-1.752227,,,./0.png
120.655545816667,-1.73572655555556,19108.000000,120.655546,-1.735727,,,./0.png
120.411717519444,-1.61585421111111,19109.000000,120.411718,-1.615854,,,./0.png
120.751204416667,-1.51272473055556,19110.000000,120.751204,-1.512725,,,./0.png
120.765159866667,-1.46057556111111,19111.000000,120.765160,-1.460576,,,./0.png
120.754513633333,-1.41416501944444,19112.000000,120.754514,-1.414165,,,./0.png
120.81325525,-1.41301448333333,19113.000000,120.813255,-1.413014,,,./0.png
120.887128172222,-1.41629923888889,19114.000000,120.887128,-1.416299,,,./0.png
120.889918005556,-1.48264394166667,19115.000000,120.889918,-1.482644,,,./0.png
121.024631325,-1.42530431111111,19117.000000,121.024631,-1.425304,,,./0.png
121.118167730556,-1.42580640555556,19118.000000,121.118168,-1.425806,,,./0.png
121.163363444444,-1.3696114,19119.000000,121.163363,-1.369611,,,./0.png
121.169934677778,-1.34139901666667,19120.000000,121.169935,-1.341399,,,./0.png
121.117388458333,-1.44377828611111,19121.000000,121.117388,-1.443778,,,./0.png
121.110365091667,-1.48464351944444,19122.000000,121.110365,-1.484644,,,./0.png
121.1821316,-1.5459031,19123.000000,121.182132,-1.545903,,,./0.png
121.128373033333,-1.58787393888889,19124.000000,121.128373,-1.587874,,,./0.png
121.157487694444,-1.59156698888889,19125.000000,121.157488,-1.591567,,,./0.png
121.2185196,-1.618822425,19126.000000,121.218520,-1.618822,,,./0.png
121.149394177778,-1.66361281666667,19127.000000,121.149394,-1.663613,,,./0.png
121.121247588889,-1.70818104166667,19128.000000,121.121248,-1.708181,,,./0.png
121.051050305556,-1.87975561666667,19129.000000,121.051050,-1.879756,,,./0.png
121.120083508333,-1.894446375,19130.000000,121.120084,-1.894446,,,./0.png
121.0531173,-1.90904999722222,19131.000000,121.053117,-1.909050,,,./0.png
120.976831913889,-2.00050966944444,19132.000000,120.976832,-2.000510,,,./0.png
120.966315508333,-2.02078716111111,19133.000000,120.966316,-2.020787,,,./0.png
120.883630322222,-2.04857249444444,19134.000000,120.883630,-2.048572,,,./0.png
120.804782402778,-2.00820016944444,19135.000000,120.804782,-2.008200,,,./0.png
120.736734908333,-2.04989003888889,19136.000000,120.736735,-2.049890,,,./0.png
120.727894141667,-2.14302436666667,19137.000000,120.727894,-2.143024,,,./0.png
120.924402872222,-2.060973275,19138.000000,120.924403,-2.060973,,,./0.png
121.107218955556,-2.06937831944444,19139.000000,121.107219,-2.069378,,,./0.png
121.201890436111,-2.15593133611111,19140.000000,121.201890,-2.155931,,,./0.png
121.295819608333,-2.06032985277778,19141.000000,121.295820,-2.060330,,,./0.png
121.340464019444,-1.98883820277778,19142.000000,121.340464,-1.988838,,,./0.png
121.354736433333,-2.12224846666667,19143.000000,121.354736,-2.122248,,,./0.png
121.282001088889,-2.14438910555556,19144.000000,121.282001,-2.144389,,,./0.png
121.31788145,-2.1953125,19145.000000,121.317881,-2.195313,,,./0.png
121.279512463889,-2.25227693888889,19146.000000,121.279512,-2.252277,,,./0.png
122.583209069444,-0.837197663888889,19172.000000,122.583209,-0.837198,,,./0.png
122.263532047222,-0.910548880555556,19173.000000,122.263532,-0.910549,,,./0.png
122.301849925,-0.796150294444444,19174.000000,122.301850,-0.796150,,,./0.png
122.430252694444,-0.778242158333333,19175.000000,122.430253,-0.778242,,,./0.png
122.511818569444,-0.781421516666667,19176.000000,122.511819,-0.781422,,,./0.png
122.639825013889,-0.788025263888889,19177.000000,122.639825,-0.788025,,,./0.png
122.730440711111,-0.814108247222222,19178.000000,122.730441,-0.814108,,,./0.png
122.803474147222,-0.780557705555556,19179.000000,122.803474,-0.780558,,,./0.png
122.848412219444,-0.663036011111111,19180.000000,122.848412,-0.663036,,,./0.png
122.916587880556,-0.629856677777778,19181.000000,122.916588,-0.629857,,,./0.png
123.048110972222,-0.597825413888889,19182.000000,123.048111,-0.597825,,,./0.png
122.961284197222,-0.757604030555556,19183.000000,122.961284,-0.757604,,,./0.png
122.869674963889,-0.814841738888889,19184.000000,122.869675,-0.814842,,,./0.png
122.854882116667,-0.927759797222222,19185.000000,122.854882,-0.927760,,,./0.png
123.008706197222,-0.894761752777778,19186.000000,123.008706,-0.894762,,,./0.png
123.017260483333,-0.823157566666667,19187.000000,123.017260,-0.823158,,,./0.png
123.109977011111,-0.825829333333333,19188.000000,123.109977,-0.825829,,,./0.png
123.141261897222,-0.902499394444444,19189.000000,123.141262,-0.902499,,,./0.png
